https://www.hillspet.com/dog-food?lifestage=adult,                  , 
class                                            , code             , name in filter
lifestage=                                       , puppy            , puppy
                                                 , adult            , adult1+
                                                 , mature           , adult7+
                                                 , senior           , adult11+
                                                 ,                  , 
productform=                                     , dry              , dry
                                                 , canned           , can&tray
                                                 , srew             , stews
                                                 , threats          , threars
                                                 ,                  , 
brand=                                           , pd               , prescription diet
                                                 , sd               , science diet
                                                 ,                  , 
condition=                                       , agingcare        , Aging Care
                                                 , restorativecare  , Cancer Patient Support
                                                 , oralhealth       , Dental Care
                                                 , gidisorders      , Digestive Care
                                                 , foodsensitivity  , Food Sensitivity
                                                 , diabetes         , Glucose Management
                                                 , heartcare        , Heart Care
                                                 , arthritismobility, Joint Care
                                                 , renaldisease     , Kidney Care
                                                 , hepaticdisorders , Liver Care
                                                 , skinhealth       , Skin Health
                                                 , urgentcare       , Urgent Care
                                                 , urinaryhealth    , Urinary Care
                                                 , weightmanagement , Weight Management
                                                 ,                  , 
                                                 ,                  , 
condition=                                       , nocornwheatsoy   , "No Corn, Wheat, or Soy"
                                                 , grainfree        , Grain Free
                                                 , largebreed       , Large Breed
                                                 , mediumbreed      , Medium Breed
                                                 , smallandtoy      , Small & Mini Breed
                                                 , pregnant         , Pregnant or Nursing
                                                 ,                  , 
technology=                                      , activbiome       , ActivBiome+